date,open,high,low,close,month
2000-09-30,112.36,116.75,111.25,113.03,2000-09
2000-10-31,113.14,118.99,113.14,116.67,2000-10
2000-11-30,116.6,118.68,114.11,115.21,2000-11
2000-12-31,115.21,115.44,109.25,109.31,2000-12
2001-01-31,109.33,112.37,108.32,110.26,2001-01
2001-02-28,110.3,113.62,109.4,112.15,2001-02
2001-03-31,112.04,117.64,110.9,117.64,2001-03
2001-04-30,117.7,117.7,114.19,115.75,2001-04
2001-05-31,115.71,119.29,114.27,119.11,2001-05
2001-06-30,119.11,120.33,117.47,119.47,2001-06
2001-07-31,119.39,120.99,116.49,117.1,2001-07
2001-08-31,117.07,117.07,112.43,113.23,2001-08
2001-09-30,114.32,115.99,111.41,113.41,2001-09
2001-10-31,113.69,116.22,112.51,114.88,2001-10
2001-11-30,114.71,117.8,113.66,115.54,2001-11
2001-12-31,115.61,118.26,114.77,117.14,2001-12
2002-01-31,116.4,120.51,115.55,120.28,2002-01
2002-02-28,120.21,120.21,118.13,119.11,2002-02
2002-03-31,119.29,119.61,116.76,118.66,2002-03
2002-04-30,118.56,118.58,114.79,115.22,2002-04
2002-05-31,115.18,115.25,110.88,111.71,2002-05
2002-06-30,111.93,111.99,105.57,106.15,2002-06
2002-07-31,105.76,107.81,103.54,107.41,2002-07
2002-08-31,107.61,109.0,106.18,106.98,2002-08
2002-09-30,106.43,109.77,105.41,106.87,2002-09
2002-10-31,106.74,108.74,106.47,106.64,2002-10
2002-11-30,106.55,106.97,104.12,106.38,2002-11
2002-12-31,106.57,107.31,101.8,101.85,2002-12
2003-01-31,102.36,103.2,98.76,99.91,2003-01
2003-02-28,100.26,100.89,98.65,99.71,2003-02
2003-03-31,99.74,102.15,97.57,99.06,2003-03
2003-04-30,98.86,101.81,97.1,97.19,2003-04
2003-05-31,97.18,97.25,92.21,93.27,2003-05
2003-06-30,93.73,95.34,91.88,94.73,2003-06
2003-07-31,94.54,97.45,93.96,96.89,2003-07
2003-08-31,96.87,99.49,95.56,98.1,2003-08
2003-09-30,97.95,99.37,92.1,92.85,2003-09
2003-10-31,92.73,93.42,91.01,92.73,2003-10
2003-11-30,92.64,94.13,90.04,90.21,2003-11
2003-12-31,90.16,90.54,86.36,86.92,2003-12
2004-01-31,86.77,88.07,84.8,87.2,2004-01
2004-02-29,87.14,88.02,84.56,87.31,2004-02
2004-03-31,87.46,89.84,87.36,87.61,2004-03
2004-04-30,87.57,91.5,87.02,90.48,2004-04
2004-05-31,90.63,92.29,88.47,88.95,2004-05
2004-06-30,88.64,90.42,88.04,88.8,2004-06
2004-07-31,88.84,90.29,87.0,89.96,2004-07
2004-08-31,89.71,90.19,87.66,88.94,2004-08
2004-09-30,88.91,89.75,87.34,87.36,2004-09
2004-10-31,87.41,88.64,84.73,84.91,2004-10
2004-11-30,84.7,85.66,81.53,81.82,2004-11
2004-12-31,81.81,83.18,80.42,80.85,2004-12
2005-01-31,81.05,84.08,80.77,83.6,2005-01
2005-02-28,83.49,85.44,82.3,82.51,2005-02
2005-03-31,82.65,84.74,81.28,84.06,2005-03
2005-04-30,84.07,85.32,83.36,84.43,2005-04
2005-05-31,84.46,87.82,83.75,87.76,2005-05
2005-06-30,87.74,89.55,87.15,89.11,2005-06
2005-07-31,89.17,90.77,88.28,89.35,2005-07
2005-08-31,89.41,89.44,86.76,87.58,2005-08
2005-09-30,87.59,89.82,86.02,89.52,2005-09
2005-10-31,89.51,90.74,88.53,90.07,2005-10
2005-11-30,90.12,92.63,89.62,91.57,2005-11
2005-12-31,91.54,92.32,89.52,91.17,2005-12
2006-01-31,90.75,90.94,87.83,88.96,2006-01
2006-02-28,88.96,91.02,88.84,90.11,2006-02
2006-03-31,90.08,91.16,88.85,89.73,2006-03
2006-04-30,89.74,90.4,85.95,86.11,2006-04
2006-05-31,85.93,86.36,83.6,84.72,2006-05
2006-06-30,84.68,87.05,83.72,85.22,2006-06
2006-07-31,85.2,87.33,84.61,85.3,2006-07
2006-08-31,85.28,85.75,84.39,85.05,2006-08
2006-09-30,85.09,86.22,84.67,85.97,2006-09
2006-10-31,86.01,87.3,85.21,85.32,2006-10
2006-11-30,85.29,85.93,82.79,82.92,2006-11
2006-12-31,82.91,84.22,82.24,83.72,2006-12
2007-01-31,83.46,85.43,83.17,84.61,2007-01
2007-02-28,84.65,85.21,83.36,83.57,2007-02
2007-03-31,83.62,84.38,82.64,82.93,2007-03
2007-04-30,82.91,83.21,81.26,81.44,2007-04
2007-05-31,81.42,82.6,81.25,82.3,2007-05
2007-06-30,82.31,83.27,81.7,81.92,2007-06
2007-07-31,81.86,81.96,80.01,80.77,2007-07
2007-08-31,80.89,82.13,79.95,80.79,2007-08
2007-09-30,80.82,81.14,77.72,77.72,2007-09
2007-10-31,77.67,78.87,76.46,76.52,2007-10
2007-11-30,76.61,76.82,74.48,76.14,2007-11
2007-12-31,75.93,77.85,75.59,76.69,2007-12
2008-01-31,76.54,77.34,74.97,75.21,2008-01
2008-02-29,75.19,77.04,73.56,73.71,2008-02
2008-03-31,73.74,73.94,70.69,71.8,2008-03
2008-04-30,71.86,73.11,71.01,72.5,2008-04
2008-05-31,72.56,73.89,71.82,72.87,2008-05
2008-06-30,72.87,74.31,72.04,72.46,2008-06
2008-07-31,72.46,73.53,71.31,73.22,2008-07
2008-08-31,73.22,77.61,73.19,77.38,2008-08
2008-09-30,77.74,80.37,75.89,79.44,2008-09
2008-10-31,79.2,87.88,78.94,85.63,2008-10
2008-11-30,85.81,88.46,83.9,86.51,2008-11
2008-12-31,86.42,87.7,77.68,81.15,2008-12
2009-01-31,81.18,86.81,80.85,85.83,2009-01
2009-02-28,86.07,88.49,84.46,88.11,2009-02
2009-03-31,88.61,89.62,82.63,85.55,2009-03
2009-04-30,85.54,86.87,83.73,84.73,2009-04
2009-05-31,84.73,84.87,79.18,79.23,2009-05
2009-06-30,79.19,81.47,78.33,80.12,2009-06
2009-07-31,80.12,80.89,78.22,78.31,2009-07
2009-08-31,78.2,79.51,77.43,78.13,2009-08
2009-09-30,78.13,78.94,75.83,76.66,2009-09
2009-10-31,76.66,77.47,74.94,76.39,2009-10
2009-11-30,76.31,76.82,74.17,74.71,2009-11
2009-12-31,74.71,78.45,74.27,77.92,2009-12
2010-01-31,77.92,79.5,76.6,79.48,2010-01
2010-02-28,79.46,81.37,78.68,80.35,2010-02
2010-03-31,80.35,82.24,79.51,81.0,2010-03
2010-04-30,81.0,82.71,80.03,81.89,2010-04
2010-05-31,81.67,87.46,81.63,86.68,2010-05
2010-06-30,86.68,88.71,85.01,86.09,2010-06
2010-07-31,86.09,86.26,81.46,81.59,2010-07
2010-08-31,81.54,83.56,80.08,83.13,2010-08
2010-09-30,83.07,83.22,78.41,78.76,2010-09
2010-10-31,78.81,78.83,76.14,77.05,2010-10
2010-11-30,76.93,81.44,75.63,81.34,2010-11
2010-12-31,81.27,81.36,78.78,79.05,2010-12
2011-01-31,79.11,81.31,77.54,77.77,2011-01
2011-02-28,77.61,78.87,76.76,76.91,2011-02
2011-03-31,76.86,77.38,75.25,76.01,2011-03
2011-04-30,76.05,76.61,72.83,73.03,2011-04
2011-05-31,73.12,76.37,72.7,74.65,2011-05
2011-06-30,74.43,76.02,73.51,74.36,2011-06
2011-07-31,74.45,76.72,73.42,73.74,2011-07
2011-08-31,73.89,75.45,73.45,74.12,2011-08
2011-09-30,74.17,78.86,74.15,78.8,2011-09
2011-10-31,78.92,79.84,74.72,76.52,2011-10
2011-11-30,76.56,79.7,76.45,78.37,2011-11
2011-12-31,78.36,80.85,77.97,80.25,2011-12
2012-01-31,80.32,81.78,78.74,79.32,2012-01
2012-02-29,79.34,80.12,78.1,78.79,2012-02
2012-03-31,78.74,80.74,78.63,78.95,2012-03
2012-04-30,79.0,80.18,78.64,78.77,2012-04
2012-05-31,78.77,83.22,78.6,83.07,2012-05
2012-06-30,83.17,83.54,81.19,81.6,2012-06
2012-07-31,81.55,84.1,81.53,82.67,2012-07
2012-08-31,82.66,83.51,80.96,81.25,2012-08
2012-09-30,81.21,81.67,78.6,79.89,2012-09
2012-10-31,80.11,80.33,78.94,79.94,2012-10
2012-11-30,79.94,81.46,79.86,80.15,2012-11
2012-12-31,79.98,80.66,79.01,79.81,2012-12
2013-01-31,79.69,80.87,79.13,79.22,2013-01
2013-02-28,79.14,82.0,78.92,81.94,2013-02
2013-03-31,81.89,83.3,81.78,82.98,2013-03
2013-04-30,83.14,83.49,81.6,81.72,2013-04
2013-05-31,81.72,84.5,81.33,83.26,2013-05
2013-06-30,83.26,83.38,80.5,83.18,2013-06
2013-07-31,83.14,84.75,81.41,81.65,2013-07
2013-08-31,81.65,82.49,80.75,82.03,2013-08
2013-09-30,81.98,82.67,80.03,80.22,2013-09
2013-10-31,80.23,80.75,79.0,80.25,2013-10
2013-11-30,80.25,81.48,80.22,80.65,2013-11
2013-12-31,80.59,80.99,79.69,80.15,2013-12
2014-01-31,80.16,81.39,80.04,81.27,2014-01
2014-02-28,81.24,81.32,79.69,79.77,2014-02
2014-03-31,79.87,80.35,79.27,80.12,2014-03
2014-04-30,80.13,80.6,79.33,79.52,2014-04
2014-05-31,79.52,80.58,78.91,80.39,2014-05
2014-06-30,80.39,81.02,79.76,79.8,2014-06
2014-07-31,79.79,81.57,79.74,81.45,2014-07
2014-08-31,81.45,82.75,81.19,82.72,2014-08
2014-09-30,82.71,86.22,82.67,85.91,2014-09
2014-10-31,85.9,87.13,84.47,86.92,2014-10
2014-11-30,87.02,88.46,86.88,88.29,2014-11
2014-12-31,88.21,90.32,87.63,90.26,2014-12
2015-01-31,90.26,95.53,90.24,94.74,2015-01
2015-02-28,94.81,95.36,93.25,95.29,2015-02
2015-03-31,95.36,100.42,95.06,98.47,2015-03
2015-04-30,98.47,99.99,94.4,94.77,2015-04
2015-05-31,94.76,97.78,93.13,96.85,2015-05
2015-06-30,96.88,97.68,93.56,95.54,2015-06
2015-07-31,95.52,98.15,95.45,97.21,2015-07
2015-08-31,97.23,98.33,92.62,95.94,2015-08
2015-09-30,95.96,96.7,94.06,96.24,2015-09
2015-10-31,96.24,97.82,93.81,96.92,2015-10
2015-11-30,96.76,100.31,96.64,100.21,2015-11
2015-12-31,100.23,100.51,97.19,98.63,2015-12
2016-01-31,98.63,99.83,98.05,99.57,2016-01
2016-02-29,99.6,99.7,95.24,98.23,2016-02
2016-03-31,98.24,98.58,94.32,94.65,2016-03
2016-04-30,94.65,95.2,93.01,93.02,2016-04
2016-05-31,93.04,95.97,91.92,95.83,2016-05
2016-06-30,95.82,96.71,93.02,95.89,2016-06
2016-07-31,95.93,97.57,95.34,95.8,2016-07
2016-08-31,95.58,96.71,94.08,96.01,2016-08
2016-09-30,96.0,96.32,94.46,95.46,2016-09
2016-10-31,95.47,99.12,95.46,98.33,2016-10
2016-11-30,98.35,102.05,95.89,101.52,2016-11
2016-12-31,101.58,103.65,99.43,102.68,2016-12
2017-01-31,102.39,103.82,99.43,99.57,2017-01
2017-02-28,99.56,101.77,99.23,101.33,2017-02
2017-03-31,101.34,102.27,98.85,100.56,2017-03
2017-04-30,100.52,101.35,98.69,99.04,2017-04
2017-05-31,99.03,99.89,96.79,96.98,2017-05
2017-06-30,96.99,97.87,95.47,95.62,2017-06
2017-07-31,95.64,96.51,92.77,92.85,2017-07
2017-08-31,92.85,94.15,91.62,92.59,2017-08
2017-09-30,92.62,93.67,91.01,93.07,2017-09
2017-10-31,93.12,95.16,92.75,94.56,2017-10
2017-11-30,94.56,95.15,92.49,93.01,2017-11
2017-12-31,93.02,94.22,92.07,92.28,2017-12
2018-01-31,92.27,92.65,88.42,89.09,2018-01
2018-02-28,89.08,90.7,88.24,90.66,2018-02
2018-03-31,90.25,90.93,88.94,89.97,2018-03
2018-04-30,90.01,91.99,89.23,91.83,2018-04
2018-05-31,91.83,95.04,91.8,93.98,2018-05
2018-06-30,93.99,95.54,93.17,94.47,2018-06
2018-07-31,94.61,95.66,93.71,94.56,2018-07
2018-08-31,94.56,96.99,94.43,95.1,2018-08
2018-09-30,95.19,95.75,93.81,95.06,2018-09
